label,parcellation,parcellation_name
self,5,MCC (5)
self,17,pgACC (17)
self,28,dACC (28)
self,47,sgACC (47)
self,52,dACC (52)
self,66,armPFC (66)
self,116,vmPFC (116)
self,147,vmPFC (147)
self,152,dmPFC (152)
self,156,putamen (156)
self,184,putamen (184)
self,198,sgACC (198)
self,207,VS (207)
self,225,MCC (225)
self,249,VS (249)
self,292,armPFC (292)
self,309,putamen (309)
self,354,dmPFC (354)
self,380,pgACC (380)
social,18,ATC (18)
social,23,precuneus (23)
social,29,ATC (29)
social,49,PCC (49)
social,54,ATC (54)
social,59,PCC (59)
social,62,PCC (62)
social,63,AI (63)
social,67,TPJ (67)
social,76,RSC (76)
social,111,PCC (111)
social,114,TPJ (114)
social,139,dmPFC (139)
social,143,TPJ (143)
social,146,precuneus (146)
social,150,ATC (150)
social,178,dmPFC (178)
social,179,precuneus (179)
social,189,precuneus (189)
social,203,TPJ (203)
social,212,ATC (212)
social,224,TPJ (224)
social,229,RSC (229)
social,236,RSC (236)
social,238,dmPFC (238)
social,239,dmPFC (239)
social,245,RSC (245)
social,250,TPJ (250)
social,259,AI (259)
social,266,ATC (266)
social,271,AI (271)
social,301,dmPFC (301)
social,305,AI (305)
social,310,dmPFC (310)
social,322,TPJ (322)
social,324,precuneus (324)
social,328,TPJ (328)
social,331,TPJ (331)
social,333,PCC (333)
social,342,precuneus (342)
social,343,TPJ (343)
social,350,TPJ (350)
social,374,dmPFC (374)
social,391,RSC (391)
